,ISW decommissioning,cum. ISW decommissioning,ISW max. capacity
2020,3,3,29.693544334211985
2021,0,3,29.693544334211985
2022,0,3,29.693544334211985
2023,0,3,29.693544334211985
2024,0,3,29.693544334211985
2025,13,16,16.693544334211985
2026,0,16,16.693544334211985
2027,0,16,16.693544334211985
2028,0,16,16.693544334211985
2029,0,16,16.693544334211985
2030,8,24,8.693544334211985
2031,0,24,8.693544334211985
2032,0,24,8.693544334211985
2033,0,24,8.693544334211985
2034,0,24,8.693544334211985
2035,7,31,1.6935443342119854
2036,0,31,1.6935443342119854
2037,0,31,1.6935443342119854
2038,0,31,1.6935443342119854
2039,0,31,1.6935443342119854
2040,0,31,1.6935443342119854
2041,0,31,1.6935443342119854
2042,0,31,1.6935443342119854
2043,0,31,1.6935443342119854
2044,0,31,1.6935443342119854
2045,0,31,1.6935443342119854
