Jahre,Gesamt ohne LULUCF,Gesamt,Energiewirtschaft,Gebäude,Industrie,Verkehr,"Landwirtschaft, Abfall, Sonstige",LULUCF,Total CO2,Energiewirtschaft CO2,Gebäude CO2,Industrie CO2,Verkehr CO2,"Landwirtschaft, Abfall, Sonstige CO2",Total GHG reduction,Iron and Steel CO2
2020,729,717,220,119,172,146,71,-11,638.6813999999999,211.904,117.66720000000001,156.3824,144.3356,8.3922,nan,60.632886931033866
2021,761,750,247,115,181,148,69,-11,670.6562,237.91039999999998,113.712,164.5652,146.3128,8.1558,nan,63.80553799137867
2022,756,743.6,257,108,177,139,75,-12.4,661.5416,247.5424,106.7904,160.9284,137.4154,8.865,nan,62.395470853447655
2023,720,706.2,238,102,172,134,74,-13.8,627.7008,229.24159999999998,100.8576,156.3824,132.4724,8.7468,nan,60.632886931033866
2024,682,666.8,220,97,165,128,72,-15.200000000000001,592.8868,211.904,95.9136,150.018,126.5408,8.5104,nan,58.16526943965459
2025,643,626.4,201,92,157,123,70,-16.6,557.189,193.6032,90.9696,142.7444,121.5978,8.274,nan,55.34513516379255
2026,604,586,183,87,149,117,68,-18,521.4658000000001,176.26559999999998,86.0256,135.4708,115.6662,8.0376,nan,52.5250008879305
2027,565,545.6,164,82,140,112,67,-19.4,484.97700000000003,157.9648,81.0816,127.288,110.7232,7.9193999999999996,nan,49.35234982758571
2028,523,502.2,145,77,132,105,64,-20.799999999999997,447.1838,139.664,76.1376,120.0144,103.803,7.5648,nan,46.53221555172367
2029,481,458.8,127,72,125,95,62,-22.199999999999996,408.4154,122.32639999999999,71.1936,113.65,93.917,7.3284,nan,44.06459806034439
2030,438,413,108,67,118,85,60,-25,368.68379999999996,104.0256,66.2496,107.2856,84.031,7.092,nan,41.5969805689651
2031,409.83334721038256,383.83334721038256,101.0547979422861,,,,,-26,340.5171472103825,97.33598137800996,,,,,-28.166652789617444,25.958487115645998
2032,372.575770191257,345.575770191257,91.86799812935104,,,,,-27,303.25957019125696,88.48725579819092,,,,,-37.25757701912556,23.118247377546634
2033,347.7373855118399,319.7373855118399,85.74346492072763,,,,,-28,278.42118551183984,82.58810541164485,,,,,-24.838384679417118,21.22475421881372
2034,322.89900083242276,293.89900083242276,79.61893171210424,,,,,-29,253.58280083242272,76.6889550250988,,,,,-24.838384679417118,19.331261060080806
2035,285.64142381329697,255.64142381329697,70.43213189916912,,,,,-30,216.32522381329693,67.84022944527969,,,,,-37.25757701912579,16.491021321981425
2036,260.80303913387985,229.80303913387985,64.30759869054572,,,,,-31,191.4868391338798,61.94107905873363,,,,,-24.838384679417118,14.597528163248509
2037,235.9646544544627,203.9646544544627,58.18306548192231,,,,,-32,166.64845445446267,56.04192867218757,,,,,-24.838384679417146,12.70403500451559
2038,211.1262697750457,178.1262697750457,52.05853227329894,,,,,-33,141.81006977504566,50.14277828564153,,,,,-24.838384679417004,10.810541845782685
2039,173.86869275591988,139.86869275591988,42.87173246036381,,,,,-34,104.55249275591984,41.294052705822416,,,,,-37.25757701912582,7.970302107683302
2040,149.03030807650276,114.03030807650276,36.747199251740405,,,,,-35,79.71410807650273,35.394902319276355,,,,,-24.838384679417118,6.0768089489503865
2041,127.22424646120221,91.22424646120221,31.370362141118353,,,,,-36,57.908046461202176,30.215932814325196,,,,,-21.80606161530055,4.414477480121192
2042,105.41818484590166,68.41818484590166,25.9935250304963,,,,,-37,36.101984845901626,25.036963309374034,,,,,-21.80606161530055,2.752146011291998
2043,83.61212323060111,45.612123230601114,20.61668791987425,,,,,-38,14.295923230601076,19.857993804422875,,,,,-21.80606161530055,1.0898145424628043
2044,61.806061615300564,22.80606161530056,15.239850809252193,,,,,-39,0,14.679024299471712,,,,,-21.80606161530055,0.0
2045,40,0,9.863013698630137,,,,,-40,0,9.500054794520548,,,,,-21.806061615300564,0.0
