,Electric arc,EAF - cross-cutting,EAF - Steel: Smelters,EAF - Steel: Electric arc,"EAF - Steel: Furnaces, Refining and Rolling",EAF - Steel: Products finishing,EAF - main processes,H2-DRI+EAF,EAF - H2-DRI,H2-DRI+EAF - main processes,Integrated steelworks,ISW - cross-cutting,ISW - Steel: Sinter/Pellet making,ISW - Steel: Blast /Basic oxygen furnace,"ISW - Steel: Furnaces, Refining and Rolling",ISW - Steel: Products finishing,ISW - main processes
elec,0.9779754870311445,0.07940663254169214,0.0,0.5199588606485372,0.24983499127421202,0.12877500256670302,0.5199588606485372,1.2999754870311444,0.322,0.8419588606485373,1.0797132180703684,0.11544712253162356,0.034007554376046835,0.0,0.6209341703079655,0.30932437085473247,0.034007554376046835
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10277661624078417,0.0,0.019438074097592836,0.08333854214319134,0.0,0.0,0.10277661624078417
coke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10173846718555637,0.0,0.0,0.10173846718555637,0.0,0.0,0.10173846718555637
biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methane,0.1926347161116193,0.0,0.1926347161116193,0.0,0.0,0.0,0.1926347161116193,0.1926347161116193,0.0,0.1926347161116193,0.11404481113448714,0.0,0.11404481113448714,0.0,0.0,0.0,0.11404481113448714
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,0.002560712883243751,0.002560712883243751,0.0,0.0,0.0,0.0,0.0,0.002560712883243751,0.0,0.0,0.0050634702864747185,0.0050634702864747185,0.0,0.0,0.0,0.0,0.0
naphtha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
process emission,0.01231080419554976,0.0,0.0,0.01231080419554976,0.0,0.0,0.01231080419554976,0.01231080419554976,0.0,0.01231080419554976,1.750566773699601,0.0,0.11064567798358195,1.4152489191472357,0.0,0.0,1.750566773699601
process emission from feedstock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions,0.10655823801997244,0.0,0.03547364043577336,0.0,0.0,0.0,0.04778444463132312,0.10655823801997244,0.0,0.03547364043577336,1.9205551888394328,0.0,0.0,0.0,0.0,0.0,0.0
